[User ID]	[Service ID]	[RT]	[User Country]	[User AS]	[Service Country]	[Service AS]
194	1576	0.1	19	136	31	508
280	1742	0.063	19	102	33	43
267	5446	0.603	8	49	4	149
247	4401	0.157	29	116	70	43
238	4862	0.531	27	101	70	545
211	1757	0.257	25	123	33	780
140	752	2.846	29	52	11	546
44	2842	0.126	29	65	69	43
79	5492	0.142	9	113	9	25
19	1669	0.478	29	89	33	43
321	3828	0.111	29	85	70	387
66	3338	0.428	18	50	70	210
104	5410	0.63	8	41	70	261
235	3549	0.131	9	113	70	354
137	5243	1.936	29	46	65	897
135	277	12.556	25	123	9	203
124	2494	7.688	23	121	61	43
177	942	0.137	9	113	17	891
197	3893	0.411	16	32	70	65
274	458	0.236	5	76	9	119
71	1473	0.595	29	114	23	404
62	233	11.492	29	90	9	203
72	2592	1.062	29	114	12	43
183	829	6.796	0	5	11	43
27	5243	2.927	29	110	65	897
320	2933	0.151	29	88	69	43
123	4552	8.221	23	121	70	98
81	5118	0.933	25	123	72	516
34	5048	0.109	29	62	70	392
256	1166	0.059	18	50	22	705
279	5721	0.457	19	102	70	635
137	1414	0.769	29	46	69	648
85	1182	0.029	9	130	22	269
137	2167	0.131	29	46	49	261
242	565	0.792	27	101	9	708
277	2143	0.563	6	67	48	323
20	744	3.608	29	135	11	21
204	4282	0.191	19	134	70	368
76	3787	0.123	2	8	70	124
285	1165	5.08	9	113	22	705
156	85	0.589	4	30	2	977
256	2059	4.154	18	50	44	43
248	5409	1.167	29	116	70	43
9	1242	0.245	29	133	23	43
211	4098	0.681	25	123	70	868
235	3805	0.28	9	113	70	542
117	2696	0.045	9	100	69	43
214	134	0.344	16	60	4	82
199	2181	0.161	29	16	70	816
40	1142	0.124	29	18	22	837
44	814	3.282	29	65	11	164
193	1338	0.337	10	98	70	43
194	685	0.82	19	136	11	164
95	5651	0.223	29	72	70	632
82	729	0.255	26	25	11	43
290	3737	0.07	29	107	70	805
71	5681	0.22	29	114	70	474
73	219	0.073	29	127	9	203
170	2145	0.399	29	83	48	323
308	516	0.091	29	77	9	26
108	1718	0.216	29	120	33	43
44	5278	0.174	29	65	70	65
252	5353	0.403	20	40	70	121
261	546	0.175	9	113	9	203
241	4859	0.261	27	101	70	868
20	2801	0.119	29	135	69	43
308	5751	0.544	29	77	70	130
211	3405	1.805	25	123	70	166
190	3825	0.203	25	14	70	387
32	78	5.47	29	54	1	341
288	95	3.818	29	107	2	804
29	565	0.749	28	126	9	708
19	125	0.409	29	89	4	427
82	5456	0.172	26	25	6	43
161	223	0.206	4	26	9	203
112	3726	0.709	16	95	70	799
190	405	0.577	25	14	9	203
275	58	0.93	5	76	1	43
6	3045	0.445	29	15	69	305
193	5708	0.194	10	98	70	768
143	4113	0.606	9	12	70	13
104	747	0.291	8	41	11	138
285	246	0.185	9	113	9	203
230	1231	0.19	29	82	23	36
14	2881	0.105	29	11	69	43
76	2083	1.307	2	8	45	282
73	5250	0.509	29	127	69	911
29	2373	0.073	28	126	60	436
78	1814	0.087	9	113	33	888
182	4995	0.564	0	5	70	43
161	3682	0.94	4	26	70	814
183	4449	0.177	0	5	70	43
6	4114	0.415	29	15	70	13
111	4563	0.676	14	86	70	394
3	5052	0.416	29	28	70	43
34	5712	0.056	29	62	70	474
14	3323	0.184	29	11	70	210
321	457	0.135	29	85	9	119
308	3176	0.258	29	77	70	231
298	4773	0.937	1	38	70	207
288	1102	0.13	29	107	22	414
252	5104	1.823	20	40	70	43
314	5322	0.222	29	3	70	796
264	1128	0.021	9	100	22	43
62	898	0.141	29	90	14	389
34	4248	0.068	29	62	70	43
274	391	0.417	5	76	9	203
321	1447	0.592	29	85	23	286
24	143	0.187	29	119	4	43
101	2276	0.183	29	103	53	742
91	3566	0.144	15	17	70	354
235	5222	0.178	9	113	60	222
17	309	0.06	29	112	9	203
90	4688	0.421	0	122	70	796
34	1382	0.268	29	62	23	445
85	5067	0.421	9	130	70	732
306	3453	0.275	16	60	70	43
151	4293	0.32	9	113	70	98
330	1112	0.232	24	47	22	74
