[User ID]	[Service ID]	[TP]	[User Country]	[User AS]	[Service Country]	[Service AS]
273	150	62.5	28	126	4	43
90	2011	24.242	0	122	43	43
49	640	30.188	29	63	11	661
193	916	8.797	10	98	17	685
315	4180	285.714	29	3	70	17
114	1250	39.473	28	126	23	456
303	3344	79.913	16	60	70	210
175	3530	6.607	9	113	70	486
4	526	36.866	29	28	9	26
76	4357	33.707	2	8	70	239
133	5708	524.39	9	113	70	768
97	4699	3.565	9	113	70	246
169	3558	53.571	29	83	70	354
214	3653	10.526	16	60	70	590
1	3825	7.462	29	115	70	387
175	763	0.588	9	113	11	723
307	169	9.375	16	60	6	142
46	1729	339.393	29	34	33	43
338	2055	3.416	29	87	44	662
212	955	5.0	16	60	18	224
133	1245	111.111	9	113	23	493
152	4087	19.23	9	113	70	470
91	938	5.121	15	17	17	43
185	4173	24.844	29	48	70	254
219	3766	34.09	29	92	70	903
126	4047	3.294	29	7	70	733
226	276	60.869	29	108	9	203
338	3110	13.461	29	87	69	302
84	2752	142.857	9	130	69	43
176	570	2.194	9	113	9	203
176	1354	157.894	9	113	23	297
9	4793	3.267	29	133	70	364
316	2917	23.809	2	75	69	868
18	215	4.187	29	112	7	43
143	4165	22.941	9	12	70	43
254	200	15.332	20	40	6	588
84	2312	33.898	9	130	73	43
307	2961	10.666	16	60	69	296
118	1342	76.923	9	113	23	772
328	4218	10.0	9	113	70	723
12	389	134.615	29	105	9	203
156	3034	0.813	4	30	69	829
5	1919	13.824	29	15	41	263
254	5126	53.831	20	40	57	564
172	5337	12.121	29	55	70	766
67	231	20.771	18	50	9	203
249	117	5.277	29	116	2	926
280	1153	32.967	19	102	22	74
176	4212	15.873	9	113	70	378
325	985	0.368	17	36	18	931
285	3506	0.545	9	113	70	635
17	1313	16.759	29	112	23	36
141	3231	19.23	29	52	70	372
5	2364	3.628	29	15	59	390
259	4484	7.13	7	29	70	635
338	781	2.56	29	87	11	43
5	3319	31.914	29	15	70	210
318	860	0.104	29	88	11	138
252	2986	15.151	20	40	69	43
189	3326	15.486	25	14	70	210
32	1421	0.552	29	54	23	43
144	4054	12.5	28	126	70	46
303	1987	8.814	16	60	43	616
1	1417	5.309	29	115	23	295
242	2373	119.402	27	101	60	436
168	3258	1.43	9	113	70	581
75	1846	6.42	2	8	34	43
78	362	39.548	9	113	9	203
84	1116	23.391	9	130	22	74
92	4584	8.021	15	17	70	958
209	558	8.849	29	99	9	255
45	3689	65.217	29	34	70	367
59	3531	32.967	29	66	70	486
86	246	39.106	9	130	9	203
39	4278	37.974	29	18	70	240
98	2448	1.163	9	113	70	123
67	1028	23.076	18	50	18	311
144	2413	122.448	28	126	60	43
84	223	50.561	9	130	9	203
256	4043	10.101	18	50	70	469
185	5346	152.317	29	48	70	459
32	193	0.367	29	54	70	808
92	2503	16.949	15	17	61	924
316	4746	13.888	2	75	70	537
116	5147	41.713	9	100	9	43
298	740	1.227	1	38	11	340
4	2859	26.143	29	28	69	43
215	954	2.012	16	60	17	891
161	512	7.751	4	26	9	26
178	5188	5.692	2	24	32	226
265	5729	16.393	8	49	70	770
90	5347	3.565	0	122	70	374
230	3171	46.875	29	82	70	372
17	4493	37.878	29	112	70	124
280	4694	0.859	19	102	70	6
219	695	24.321	29	92	11	333
244	1607	28.818	29	70	32	182
247	4756	18.181	29	116	70	807
8	2007	14.234	29	133	43	505
303	5207	659.958	16	60	45	23
125	5708	722.689	29	7	70	768
100	578	4.854	29	103	9	34
275	3194	7.233	5	76	70	231
250	3116	10.752	13	9	69	494
134	5563	4.773	29	51	29	157
267	2369	75.471	8	49	60	436
59	4902	103.321	29	66	70	43
302	2721	8.976	3	91	69	43
279	4378	16.304	19	102	70	106
146	277	0.697	8	125	9	203
88	4612	6.896	27	101	70	200
310	1914	4.413	29	77	41	43
213	4510	4.576	16	60	70	216
140	170	234.939	29	52	6	142
172	3784	33.707	29	55	70	923
328	3181	10.869	9	113	70	372
23	3971	148.936	29	119	70	7
307	3321	10.909	16	60	70	210
247	5645	37.037	29	116	70	540
17	2351	3.562	29	112	59	532
169	4821	6.349	29	83	70	190
296	1582	2.13	1	38	31	789
321	2302	59.737	29	85	53	700
75	517	17.341	2	8	9	26
3	5590	21.582	29	28	70	526
327	2894	471.471	17	36	69	43
318	2067	8.474	29	88	45	108
53	1626	13.966	29	21	32	43
298	3576	13.452	1	38	70	21
144	3438	11.299	28	126	70	43
283	2522	0.772	19	102	61	109
143	2345	0.381	9	12	58	186
237	5311	15.384	27	101	70	144
83	5210	20.134	9	113	49	43
88	5227	2.118	27	101	62	43
21	2439	2.2	29	119	60	43
181	974	9.845	2	56	18	63
185	4956	45.226	29	48	70	632
56	1268	5.059	29	23	69	694
230	1533	386.819	29	82	28	936
302	410	6.462	3	91	9	203
225	754	6.702	29	59	11	43
198	1844	5.025	29	16	34	43
18	4803	0.778	29	112	70	43
76	2645	6.015	2	8	65	517
114	1389	65.217	28	126	23	274
49	1496	2.624	29	63	23	682
334	3334	23.622	29	55	70	210
183	4348	4.796	0	5	70	351
31	3257	44.943	2	53	70	581
307	245	32.11	16	60	9	203
38	772	1.899	29	129	11	669
172	2513	7.211	29	55	61	108
62	3911	15.306	29	90	70	11
96	4449	1000.0	29	72	70	43
213	5592	1.143	16	60	61	776
266	2758	108.108	8	49	69	43
290	2892	480.769	29	107	69	43
88	3129	30.927	27	101	69	146
302	197	0.304	3	91	6	738
41	4843	6.968	29	18	70	87
161	67	0.987	4	26	1	43
188	3164	14.204	6	67	70	231
32	5359	0.228	29	54	70	537
322	740	0.4	29	85	11	340
250	387	35.0	13	9	9	203
32	4128	40.0	29	54	70	43
23	2133	6.622	29	119	48	323
267	1029	7.299	8	49	18	43
156	5095	1.235	4	30	70	762
134	2032	14.018	29	51	44	986
338	1900	0.404	29	87	40	953
250	1560	3.067	13	9	29	404
26	2211	9.193	29	104	50	856
140	3102	8.875	29	52	69	681
133	2370	103.896	9	113	60	436
193	5654	20.547	10	98	70	240
191	4262	56.338	29	68	70	723
330	2102	14.45	24	47	45	108
90	5556	43.321	0	122	23	965
290	1741	902.777	29	107	33	43
159	1391	4.338	4	35	23	114
185	5334	36.036	29	48	70	885
162	4320	154.135	29	44	70	98
334	3546	88.235	29	55	70	43
131	2092	4.424	11	84	45	111
37	2048	6.015	29	129	44	328
261	1373	38.461	9	113	23	221
310	4601	45.977	29	77	70	43
176	4397	18.072	9	113	70	796
168	1976	1.396	9	113	43	313
86	5641	52.238	9	130	70	43
252	41	3.686	20	40	1	819
112	2375	21.68	16	95	60	436
175	202	5.434	9	113	6	347
116	586	10.738	9	100	9	43
249	2036	16.574	29	116	44	43
338	4091	27.777	29	87	70	43
9	5553	25.531	29	133	23	965
266	1203	3.759	8	49	22	978
225	2811	25.0	29	59	69	43
7	4325	166.666	29	15	70	43
188	3770	14.218	6	67	70	365
18	4603	7.575	29	112	70	723
184	5192	1.515	17	31	33	43
146	5376	4.392	8	125	70	650
37	1862	14.634	29	129	34	560
145	3087	55.555	28	126	69	43
328	2091	19.48	9	113	45	111
35	2740	31.055	29	62	69	43
278	4127	3.194	19	102	70	43
121	3400	9.779	21	106	70	457
111	1643	31.645	14	86	33	43
112	4941	4.689	16	95	70	197
316	2517	5.194	2	75	61	43
293	1269	18.633	29	96	69	694
316	3230	10.067	2	75	70	231
77	1483	77.519	15	17	23	43
121	5137	3.826	21	106	2	49
137	2048	6.182	29	46	44	328
53	3142	6.514	29	21	69	681
143	5401	27.459	9	12	70	396
162	2562	11.111	29	44	62	521
106	1617	16.216	29	128	32	182
316	5422	0.151	2	75	70	375
216	3724	7.812	30	33	70	205
198	5568	18.796	29	16	33	43
99	4343	18.018	9	113	70	793
168	5655	9.174	9	113	70	240
181	1456	3.621	2	56	23	118
47	3044	2.949	29	34	31	43
336	4410	2.932	29	117	70	19
144	211	47.619	28	126	7	642
58	49	5.376	29	45	1	43
156	180	9.523	4	30	6	43
286	167	9.523	29	69	6	142
176	105	33.898	9	113	2	35
338	4166	27.322	29	87	70	98
216	2976	7.633	30	33	69	43
129	5689	1.0	11	84	70	474
181	3074	2.84	2	56	69	43
162	5460	114.754	29	44	9	26
38	4895	426.666	29	129	70	465
37	4170	16.129	29	129	23	355
338	4441	54.054	29	87	70	43
189	1590	14.354	25	14	30	928
12	2515	59.492	29	105	61	281
26	3239	22.388	29	104	70	372
86	2131	8.152	9	130	48	323
97	821	1.629	9	113	11	165
176	1731	587.719	9	113	33	43
39	5067	12.145	29	18	70	732
1	3562	27.777	29	115	70	354
152	5162	34.013	9	113	18	63
9	311	61.946	29	133	9	203
129	5238	2.559	11	84	62	981
172	5570	35.211	29	55	33	43
261	49	3.179	9	113	1	43
155	4715	5.73	10	131	70	817
78	921	434.782	9	113	17	43
293	5080	26.143	29	96	70	368
283	895	14.285	19	102	14	682
337	3720	251.497	29	117	70	22
144	1921	4.352	28	126	41	489
