[User ID]	[Service ID]	[RT]	[User Country]	[User AS]	[Service Country]	[Service AS]
287	2905	0.196	29	69	69	43
228	4739	0.353	29	109	70	461
52	2323	1.372	29	21	55	152
223	1955	0.168	29	59	43	38
34	3490	0.219	29	62	70	37
258	810	0.959	7	29	11	43
63	4370	0.232	29	57	70	904
50	1313	0.121	29	63	23	36
179	4492	0.051	2	56	70	98
2	4700	1.397	16	94	70	808
100	1884	0.479	29	103	34	43
19	4366	0.486	29	89	70	217
6	4476	0.251	29	15	70	364
321	1167	0.148	29	85	22	705
224	1829	0.388	29	59	33	780
111	2621	0.91	14	86	63	151
232	3252	1.161	29	64	70	581
308	4927	0.527	29	77	70	43
296	172	0.06	1	38	6	43
9	840	3.01	29	133	11	138
192	4128	0.207	10	98	70	43
4	2051	0.103	29	28	70	193
300	847	0.56	16	124	11	43
311	5686	0.142	29	111	70	43
229	4056	0.128	29	82	70	21
303	4317	0.597	16	60	70	404
241	1707	0.028	27	101	33	428
112	2093	1.46	16	95	45	23
337	2204	1.017	29	117	50	66
60	5469	0.113	29	73	9	26
9	2890	0.113	29	133	69	43
63	5773	5.205	29	57	70	256
240	3123	0.442	27	101	70	598
253	5723	0.304	20	40	70	106
338	2439	0.397	29	87	60	43
334	2046	0.701	29	55	44	328
10	680	0.798	29	105	11	164
166	998	0.348	29	6	18	515
125	2342	2.759	29	7	58	844
287	3981	0.251	29	69	70	466
217	2417	1.08	30	33	60	269
278	5217	1.32	19	102	60	269
50	4495	0.021	29	63	70	453
8	3235	0.166	29	133	70	372
264	1005	0.294	9	100	18	989
327	2237	0.036	17	36	36	159
284	70	5.79	9	113	1	43
112	4936	1.174	16	95	70	245
179	2173	0.144	2	56	49	941
37	4509	0.183	29	129	70	216
11	1526	0.806	29	105	27	117
4	2974	0.272	29	28	70	261
127	5494	0.309	29	7	9	43
104	2291	0.441	8	41	53	417
140	729	1.902	29	52	11	43
278	3060	0.814	19	102	69	675
316	3400	0.735	2	75	70	457
137	2693	0.1	29	46	69	43
324	5030	0.529	29	93	70	398
43	1587	0.31	29	65	31	43
295	1260	0.135	29	19	23	114
293	4491	0.176	29	96	70	98
159	4994	1.229	4	35	70	581
150	5769	0.475	9	113	70	256
36	2855	0.115	29	71	69	43
205	2681	0.145	19	134	64	43
104	3041	0.026	8	41	69	613
175	1033	0.227	9	113	19	208
51	5073	0.127	29	63	70	474
149	2049	0.622	9	113	44	552
312	4448	0.218	29	80	70	43
294	1416	0.543	29	96	23	43
261	67	1.433	9	113	1	43
195	1732	0.099	19	136	33	43
292	4775	0.417	2	2	70	636
62	4648	0.039	29	90	70	43
236	2858	0.039	9	113	69	43
276	4126	0.157	6	67	70	46
337	4573	1.463	29	117	70	723
285	4806	5.658	9	113	70	770
196	71	0.425	16	32	1	343
164	4162	0.143	29	39	70	635
110	2808	0.091	14	86	69	43
252	5157	1.082	20	40	13	43
42	3961	0.086	29	92	70	189
171	3754	0.05	29	83	70	574
102	5466	0.107	29	103	9	26
128	4110	0.779	29	7	70	13
183	5339	10.577	0	5	70	351
330	2687	0.134	24	47	69	43
12	5460	0.052	29	105	9	26
246	2216	1.173	29	126	36	133
82	2844	0.046	26	25	69	43
3	4439	0.368	29	28	70	43
41	817	7.619	29	18	11	147
198	4681	0.282	29	16	70	963
305	797	0.645	16	60	11	164
70	4477	0.877	9	100	70	129
39	5106	0.035	29	18	70	642
8	2453	0.241	29	133	61	43
133	2967	0.085	9	113	69	296
104	4502	0.378	8	41	70	98
7	2387	0.244	29	15	60	436
311	2271	0.512	29	111	53	970
276	2827	0.039	6	67	69	43
78	1894	0.442	9	113	35	318
270	2422	1.148	19	10	60	42
10	1710	0.208	29	105	33	428
130	3326	0.354	11	84	70	210
312	2142	0.353	29	80	48	323
82	176	0.969	26	25	6	54
156	1609	0.734	4	30	32	182
194	4253	0.178	19	136	70	43
313	830	0.51	29	80	11	138
213	2978	1.221	16	60	69	43
206	431	0.512	29	132	9	203
323	406	0.052	29	93	9	203
125	4970	0.335	29	7	70	62
83	3168	0.328	9	113	70	231
187	425	8.232	10	78	9	43
60	3687	0.078	29	73	70	43
58	2257	0.338	29	45	52	43
288	3632	0.128	29	107	70	607
147	3413	0.363	8	125	70	166
263	1312	0.06	9	113	23	36
292	4809	0.29	2	2	70	18
173	2929	0.469	29	55	69	43
255	3359	0.476	25	123	70	5
53	4488	0.015	29	21	70	474
201	5393	4.069	8	49	70	43
320	5475	0.059	29	88	9	26
282	5187	0.632	19	102	32	43
132	3904	0.13	9	113	70	580
266	5720	0.128	8	49	70	635
78	3206	0.39	9	113	70	231
248	5653	0.118	29	116	70	240
263	4588	0.335	9	113	70	43
130	1827	0.725	11	84	33	43
285	4174	5.825	9	113	70	43
336	835	2.033	29	117	11	43
247	3602	0.096	29	116	70	43
80	2886	0.098	15	17	69	43
308	509	0.256	29	77	70	12
101	4700	0.218	29	103	70	808
88	5328	0.432	27	101	70	136
290	1527	0.598	29	107	27	181
25	712	0.367	29	104	11	773
30	4482	0.057	2	53	70	871
219	4810	0.156	29	92	70	43
152	3574	0.578	9	113	70	21
52	3715	0.074	29	21	70	43
326	2808	0.302	17	36	69	43
58	1647	0.159	29	45	33	43
20	5154	0.278	29	135	11	43
132	2090	0.144	9	113	45	282
191	3031	0.498	29	68	69	317
