[User ID]	[Service ID]	[TP]	[User Country]	[User AS]	[Service Country]	[Service AS]
300	2301	1.696	16	124	53	900
256	2093	40.268	18	50	45	23
230	3713	916.666	29	82	70	22
47	3053	7.067	29	34	69	439
303	4744	4.705	16	60	70	43
238	3884	11.56	27	101	70	392
139	4912	3.708	0	4	70	43
114	5683	592.307	28	126	70	43
53	2934	44.247	29	21	69	43
299	1607	14.727	1	38	32	182
75	296	98.591	2	8	9	203
128	1522	2.265	29	7	27	271
142	2542	157.894	9	12	62	308
31	4455	70.175	2	53	70	368
11	413	0.616	29	105	9	203
14	5356	29.85	29	11	70	635
13	4981	42.216	29	11	70	43
264	2151	5.208	9	100	48	323
67	3602	22.727	18	50	70	43
109	4678	15.503	29	120	70	144
57	2675	11.278	29	45	64	175
112	1678	15.384	16	95	33	43
177	4687	222.222	9	113	70	43
129	4203	1.777	11	84	70	581
61	795	4.75	29	90	11	163
92	2736	125.0	15	17	69	43
59	3658	66.666	29	66	70	876
180	2341	20.27	2	56	58	43
19	5297	43.956	29	89	70	470
159	1556	778.157	4	35	29	157
253	5534	162.79	20	40	22	43
273	1854	5.763	28	126	34	43
218	2423	3.067	29	92	60	269
118	4775	272.644	9	113	70	636
305	424	0.676	16	60	9	203
17	3949	42.372	29	112	70	43
310	2551	0.475	29	77	62	43
116	776	1.356	9	100	11	165
98	2285	14.44	9	113	53	940
5	3644	35.294	29	15	70	262
248	448	169.811	29	116	9	203
336	5328	7.285	29	117	70	136
63	774	12.0	29	57	11	162
84	5482	50.847	9	130	9	119
243	2031	1.85	27	101	44	986
167	694	4.878	9	113	11	43
53	3249	40.0	29	21	70	366
162	4852	4.285	29	44	70	286
153	3596	11.952	9	113	70	467
10	4974	0.761	29	105	70	723
293	4610	8.298	29	96	70	135
131	3523	6.315	11	84	70	24
99	5791	10.152	9	113	70	256
291	819	6.928	2	2	11	163
165	1153	24.793	29	6	22	74
162	4462	56.338	29	44	70	904
210	1529	3.597	29	81	28	218
208	2085	20.242	12	43	45	282
85	4727	9.132	9	130	70	261
326	2984	7.744	17	36	69	43
316	128	19.23	2	75	4	427
67	2959	40.0	18	50	69	43
62	1029	6.681	29	90	18	43
207	2696	32.894	29	132	69	43
217	1775	11.695	30	33	33	699
26	2550	29.126	29	104	62	610
290	4597	16.528	29	107	70	188
233	1650	25.641	29	64	33	43
121	1931	19.23	21	106	43	427
210	2205	4.885	29	81	50	826
264	4616	0.29	9	100	70	261
335	583	26.548	29	55	70	656
127	5215	194.319	29	7	55	43
231	3259	4.291	29	74	70	581
19	5047	2.298	29	89	70	723
86	2864	138.888	9	130	69	43
107	408	0.652	29	128	9	203
81	1088	0.566	25	123	69	886
100	2247	4.016	29	103	36	43
152	2395	39.473	9	113	60	38
199	4461	19.704	29	16	70	904
64	4815	32.258	29	57	70	539
0	3664	0.556	29	115	70	905
139	1518	76.923	0	4	27	910
297	5151	3.209	1	1	9	457
2	3349	22.624	16	94	70	210
23	3060	259.819	29	119	69	675
237	4084	9.756	27	101	70	470
205	5800	67.226	19	134	70	349
229	4921	22.388	29	82	70	43
305	1989	5.628	16	60	43	47
293	2872	24.39	29	96	69	43
315	1018	4.914	29	3	18	523
328	3462	16.483	9	113	70	91
168	3198	6.833	9	113	70	231
161	2652	4.587	4	26	65	43
152	82	2.622	9	113	1	327
133	103	28.169	9	113	2	35
106	4792	19.417	29	128	70	814
182	2799	90.909	0	5	69	43
283	5457	0.329	19	102	9	26
83	1221	31.25	9	113	22	43
281	1643	86.206	19	102	33	43
69	3956	22.857	9	100	70	144
184	1559	3.395	17	31	29	335
153	2074	7.751	9	113	45	23
237	330	40.697	27	101	9	203
153	445	0.64	9	113	9	203
236	5241	1.08	9	113	65	312
143	2020	1.94	9	12	43	43
121	910	13.888	21	106	15	424
158	1677	15.105	4	30	33	43
297	1166	10.989	1	1	22	705
261	1005	13.333	9	113	18	989
296	2702	16.077	1	38	69	43
91	3193	7.853	15	17	70	372
211	1124	2.782	25	123	22	43
182	139	510.04	0	5	4	21
13	839	6.302	29	11	11	800
267	1720	419.58	8	49	33	43
191	4514	192.307	29	68	70	817
178	4510	8.032	2	24	70	216
21	2629	6.451	29	119	65	43
188	3732	27.027	6	67	70	492
318	2856	23.584	29	88	69	43
194	3791	27.21	19	136	70	542
82	3318	5.509	26	25	70	210
139	201	296.499	0	4	6	983
103	268	65.42	29	103	9	203
60	1450	15.564	29	73	23	430
242	2763	161.29	27	101	69	43
52	1782	22.388	29	21	33	43
103	859	1.895	29	103	11	634
288	4285	51.948	29	107	70	43
261	2551	5.576	9	113	62	43
311	2029	11.049	29	111	43	511
92	2341	83.333	15	17	58	43
21	3104	9.09	29	119	69	595
43	1534	132.5	29	65	28	892
10	587	0.981	29	105	9	491
328	2245	2.022	9	113	36	133
224	1066	11.299	29	59	22	43
62	4352	7.49	29	90	70	351
229	831	1.128	29	82	11	603
274	308	28.34	5	76	9	203
191	5118	3.338	29	68	72	516
279	5078	4.291	19	102	70	959
162	5090	10.169	29	44	70	260
125	4356	9.153	29	7	70	239
174	3141	18.518	9	113	69	495
9	638	208.494	29	133	11	661
13	1622	3.896	29	11	32	107
114	2045	2.191	28	126	44	328
77	3246	6.042	15	17	70	57
69	4778	6.88	9	100	70	43
8	4385	52.631	29	133	70	368
321	2542	24.0	29	85	62	308
187	2693	64.102	10	78	69	43
104	4094	3.231	8	41	70	479
53	514	34.482	29	21	9	26
290	5614	7.5	29	107	69	609
172	1473	12.17	29	55	23	404
20	3453	13.043	29	135	70	43
290	4904	0.239	29	107	70	469
101	1994	13.333	29	103	43	929
16	5337	58.823	29	22	70	766
288	4879	23.255	29	107	70	595
328	4394	419.69	9	113	70	233
42	450	0.798	29	92	9	203
61	2526	13.544	29	90	61	896
56	2827	26.041	29	23	69	43
213	5542	10.483	16	60	22	43
171	41	2.84	29	83	1	819
6	2921	15.873	29	15	69	43
177	2809	113.636	9	113	69	43
84	4832	8.426	9	130	70	767
19	4646	10.452	29	89	70	8
215	4595	35.46	16	60	70	902
175	1205	25.089	9	113	22	38
8	535	88.235	29	133	9	46
210	3143	9.74	29	81	70	372
101	5679	73.17	29	103	70	474
35	646	3.926	29	62	11	138
72	4806	13.761	29	114	70	770
71	1310	18.691	29	114	23	36
245	2499	13.888	29	70	61	276
180	823	5.175	2	56	11	164
135	719	5.524	25	123	11	663
236	61	6.172	9	113	1	247
67	1759	27.322	18	50	33	780
211	1698	87.719	25	123	33	43
200	4364	25.477	8	49	70	43
141	6	3.571	29	52	0	43
140	1361	4.672	29	52	23	420
320	3813	18.181	29	88	70	118
301	3558	14.634	16	124	70	354
75	1664	38.167	2	8	33	43
45	4932	18.099	29	34	61	109
128	5385	6.944	29	7	70	43
132	4676	193.353	9	113	70	731
215	4002	11.363	16	60	70	723
240	409	2.764	27	101	9	43
122	61	0.735	23	121	1	247
119	105	32.258	9	113	2	35
166	1559	1.44	29	6	29	335
72	438	12.11	29	114	9	203
307	2366	1.026	16	60	60	42
25	5720	73.17	29	104	70	635
99	30	6.976	9	113	1	334
295	2889	908.771	29	19	69	43
113	4537	5.612	16	61	70	762
104	2576	10.452	8	41	62	43
110	736	2.857	14	86	11	404
31	4957	15.625	2	53	70	634
289	2001	4.0	29	107	43	702
120	4784	6.25	21	106	70	43
57	2654	57.692	29	45	65	43
27	1387	15.197	29	110	23	499
127	4743	4.702	29	7	70	469
199	3746	37.974	29	16	70	43
84	2078	18.072	9	130	70	721
93	2871	27.472	29	97	69	43
297	3427	4.683	1	1	70	166
30	1394	148.809	2	53	23	43
170	5450	27.272	29	83	4	971
167	2511	29.411	9	113	61	478
55	1296	936.17	29	37	23	286
8	725	7.782	29	133	11	138
303	929	18.292	16	60	17	512
24	1962	18.181	29	119	43	511
88	4240	9.28	27	101	70	43
163	4006	6.507	29	39	70	581
99	2110	4.58	9	113	45	43
243	2755	138.888	27	101	69	43
23	2806	21.621	29	119	69	43
30	325	1.017	2	53	9	203
255	5341	4.434	25	123	70	351
65	5711	377.192	29	79	70	474
210	3437	14.778	29	81	70	43
139	1607	46.511	0	4	32	182
128	2205	3.472	29	7	50	826
83	1809	77.669	9	113	33	43
154	3680	19.867	10	131	70	644
274	2	15.748	5	76	70	118
133	4880	3.773	9	113	70	819
301	4531	27.237	16	124	70	469
143	1873	5.747	9	12	34	153
143	4161	14.598	9	12	70	635
270	776	1.374	19	10	11	165
0	3270	4.103	29	115	70	723
62	4702	19.704	29	90	70	597
213	4516	7.633	16	60	70	37
225	4150	14.492	29	59	70	640
31	3228	18.018	2	53	70	231
97	3035	60.606	9	113	69	829
58	4719	46.632	29	45	70	62
159	3861	3.442	4	35	70	764
122	4781	0.36	23	121	70	43
292	2937	20.0	2	2	69	43
267	3855	4.098	8	49	70	43
54	2926	29.411	29	0	69	495
141	4363	22.222	29	52	70	43
276	4720	4.385	6	67	70	62
283	3707	10.676	19	102	70	815
97	2477	35.294	9	113	61	108
8	428	53.846	29	133	9	203
144	2490	8.62	28	126	61	896
213	4647	7.025	16	60	70	714
169	2575	23.006	29	83	62	620
274	4467	328.386	5	76	70	730
283	1839	0.552	19	102	33	780
281	4561	0.541	19	102	70	728
314	4973	49.382	29	3	70	478
201	336	5.0	8	49	9	203
238	5134	0.862	27	101	1	330
